DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Knox FFG","USS Lang","FF-1060","1975.495","1991.945"
"Knox FFG","USS Lockwood","DE-1064","1970.926","1975.495"
"Knox FFG","USS Lockwood","FF-1064","1975.495","1993.738"
"Knox FFG","USS Marvin Shields","DE-1066","1971.273","1975.495"
"Knox FFG","USS Marvin Shields","FF-1066","1975.495","1992.101"
"Knox FFG","USS McCandless","DE-1084","1972.169","1975.495"
"Knox FFG","USS McCandless","FF-1084","1975.495","1994.344"
"Knox FFG","USS Meyerkord","DE-1058","1969.914","1975.495"
"Knox FFG","USS Meyerkord","FF-1058","1975.495","1991.952"
"Knox FFG","USS Miller","DE-1091","1973.495","1975.495"
"Knox FFG","USS Miller","FF-1091","1975.495","1991.787"
"Knox FFG","USS Moinester","DE-1097","1974.836","1975.495"
"Knox FFG","USS Moinester","FF-1097","1975.495","1994.571"
"Knox FFG","USS Oullet","DE-1077","1970.945","1975.495"
"Knox FFG","USS Oullet","FF-1077","1975.495","1993.027"
"Knox FFG","USS Patterson","DE-1061","1970.199","1975.495"
"Knox FFG","USS Patterson","FF-1061","1975.495","1991.746"
"Knox FFG","USS Paul","DE-1080","1971.617","1975.495"
"Knox FFG","USS Paul","FF-1080","1975.495","1992.617"
"Knox FFG","USS Pharris","DE-1094","1974.068","1975.495"
"Knox FFG","USS Pharris","FF-1094","1975.495","1992.287"
"Knox FFG","USS Rathburn","DE-1057","1970.371","1975.495"
"Knox FFG","USS Rathburn","FF-1057","1975.495","1992.122"
"Knox FFG","USS Reasoner","DE-1063","1971.579","1975.495"
"Knox FFG","USS Reasoner","FF-1063","1975.495","1993.656"
"Knox FFG","USS Roark","DE-1053","1969.892","1975.495"
"Knox FFG","USS Roark","FF-1053","1975.495","1991.952"
"Knox FFG","USS Robert E. Peary","DE-1073","1972.727","1975.495"
"Knox FFG","USS Robert E. Peary","FF-1073","1975.495","1992.598"
"Knox FFG","USS Stein","DE-1065","1972.019","1975.495"
"Knox FFG","USS Stein","FF-1065","1975.495","1992.213"
"Knox FFG","USS Thomas C. Hart","DE-1092","1973.571","1975.495"
"Knox FFG","USS Thomas C. Hart","FF-1092","1975.495","1993.661"
"Knox FFG","USS Trippe","DE-1075","1970.716","1975.495"
"Knox FFG","USS Trippe","FF-1075","1975.495","1992.577"
"Knox FFG","USS Truett","DE-1095","1974.415","1975.495"
"Knox FFG","USS Truett","FF-1095","1975.495","1994.577"
"Knox FFG","USS Valdez","DE-1096","1974.568","1975.495"
"Knox FFG","USS Valdez","FF-1096","1975.495","1991.956"
"Knox FFG","USS Vreeland","DE-1068","1970.448","1975.495"
"Knox FFG","USS Vreeland","FF-1068","1975.495","1992.495"
"Knox FFG","USS W.S. Sims","DE-1059","1970.007","1975.495"
"Knox FFG","USS W.S. Sims","FF-1059","1975.495","1991.681"
"Knox FFG","USS Whipple","DE-1062","1970.639","1975.495"
"Knox FFG","USS Whipple","FF-1062","1975.495","1992.12"
"Kobben","HNoMS Kaura","S-315","1965.0007","1991.0007"
"Kobben","HNoMS Kinn","S-316","1964.2663","1990.0007"
"Kobben","HNoMS Kobben","S-318","1964.6194","2001.0007"
"Kobben","HNoMS Kunna","S-319","1964.8248","2003.9979"
"Kobben","HNoMS Kya","S-317","1964.4524","1991.0007"
"Kobben","HNoMS Sklinna ","S-305","1966.0007","2001.0007"
"Kobben","HNoMS Skolpen","S-306","1966.0007","2002.0007"
"Kobben","HNoMS Stadt","S-307","1966.0007","1989.0007"
"Kobben","HNoMS Stord","S-308","1967.0007","2002.0007"
"Kobben","HNoMS Svenner","S-309","1967.0007","2003.0007"
"Kobben","HNoMS Ula","S-300","1965.0007","1998.0007"
"Kobben","HNoMS Uthaug","S-304","1965.0007","1990.0007"
"Kobben","HNoMS Utsira","S-301","1965.0007","1998.0007"
"Kobben","HNoMS Utstein","S-302","1965.0007","1998.0007"
"Kobben","HNoMS Utvaer","S-303","1965.0007","1989.0007"
"Kongo DDG","JDS Chokai","DDG-176","1998.2142","2999.9973"
"Kongo DDG","JDS Kirishima","DDG-174","1995.2033","2999.9973"
"Kongo DDG","JDS Kongo","DDG-173","1993.2279","2999.9973"
"Kongo DDG","JDS Myoko","DDG-175","1996.1978","2999.9973"
"Landing Craft Air Cushion LCAC","USA LCJ Landing Craft Air Cushion","","1900.1","2999.9973"
"LCU 1600 LCU-Army","USA LC 1600 LCU-Army","","1900.1","2999.9973"
"LCU 1600 LCU-Navy","USA LC 1600 LCU-Navy","","1900.1","2999.9973"
"Leander FF Batch 3","HMS Juno","F52","1965.9","1992.84"
